id,user,name,queue,applicationType,startedTime,finishedTime,elapsedTime,memorySeconds,vcoreSeconds
application_1713394090403_0004,root,HIVE-04e1f84c-d7d6-48b1-a2ca-a462c608bd78,default,TEZ,2024-04-18 06:10:33,2024-04-18 06:10:36,0.05226666666666667,46490,3
application_1713394090403_0005,root,HIVE-11abd7ba-a430-4fb1-9fbe-b94a345717a2,default,TEZ,2024-04-18 06:10:49,2024-04-18 06:49:36,38.78828333333333,1723757956,225792
application_1713394090403_0002,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-18 03:10:33,2024-04-18 03:39:49,29.264,1589247273,110032
application_1713394090403_0003,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-18 03:42:49,2024-04-18 11:06:22,443.54285,17209219311,612758
application_1713394090403_0001,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-17 22:49:27,2024-04-18 03:08:14,258.78765,5151776540,365809
application_1713394090403_0012,root,HIVE-fc55154d-4892-4340-af07-f116f3b34856,default,TEZ,2024-04-18 12:53:39,2024-04-18 12:53:43,0.0627,56624,3
application_1713394090403_0013,root,HIVE-731967b6-8eab-4d04-9eba-6b1814423a66,default,TEZ,2024-04-18 12:53:57,2024-04-18 12:54:00,0.05305,46459,3
application_1713394090403_0010,root,HIVE-493e1be7-a9ea-412e-97e9-5744dd786732,default,TEZ,2024-04-18 12:43:08,2024-04-18 12:43:11,0.052050000000000006,47048,3
application_1713394090403_0011,root,HIVE-7feba059-823e-4e73-9d8a-18955ce4e564,default,TEZ,2024-04-18 12:43:12,2024-04-18 12:43:35,0.38153333333333334,466667,37
application_1713394090403_0008,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-18 11:07:55,2024-04-18 22:59:21,711.4302166666668,29265755764,1039550
application_1713394090403_0009,root,HIVE-b834729d-96c7-416e-ab6a-ff223ba4ff38,default,TEZ,2024-04-18 12:42:52,2024-04-18 12:42:55,0.057833333333333334,52320,3
application_1713394090403_0006,root,HIVE-70b054e0-2adb-4ec4-88dd-1f419bae3648,default,TEZ,2024-04-18 06:53:41,2024-04-18 06:53:45,0.0607,54359,3
application_1713394090403_0007,root,HIVE-345865d7-882a-40bc-b913-f7328a7dd040,default,TEZ,2024-04-18 06:53:56,2024-04-18 07:29:09,35.21495,1527434451,200000
application_1713394090403_0020,hadoop,HIVE-212305b4-3727-4317-943d-986d6580d13e,default,TEZ,2024-04-18 12:59:37,2024-04-18 12:59:56,0.31478333333333336,399205,32
application_1713394090403_0021,root,HIVE-0d0b0fc0-ad25-4aaf-afae-d340e030a0e2,default,TEZ,2024-04-18 13:00:54,2024-04-18 13:00:58,0.05665,50447,3
application_1713394090403_0018,hadoop,HIVE-9450da1d-52de-4de9-a792-b247074f9586,default,TEZ,2024-04-18 12:59:19,2024-04-18 12:59:22,0.05658333333333333,48680,3
